-0.0850 ,-0.0280 ,-0.1360 ,0.2770 ,0.0790 ,0.5470 ,0.0130 
0.0910 ,0.1440 ,-0.0150 ,0.8780 ,0.0390 ,0.0260 ,0.0370 
0.0090 ,0.0010 ,0.0360 ,0.8410 ,0.0080 ,-0.0620 ,0.0160 
0.9380 ,-0.0030 ,0.0040 ,-0.0810 ,0.1280 ,-0.0290 ,0.0020 
0.9450 ,-0.0020 ,-0.0010 ,-0.0790 ,0.1370 ,-0.0340 ,0.0000 
-0.3450 ,-0.0480 ,0.0940 ,-0.0980 ,0.0120 ,0.3490 ,-0.0150 
0.5780 ,0.0310 ,-0.0320 ,0.1800 ,-0.0880 ,0.0640 ,-0.0090 
-0.0440 ,0.0090 ,0.9270 ,0.0030 ,0.0020 ,0.0160 ,-0.0030 
0.1310 ,0.0000 ,-0.0010 ,0.0350 ,0.8470 ,-0.0520 ,0.0100 
0.0060 ,-0.0440 ,0.0080 ,-0.0520 ,-0.0270 ,0.0240 ,0.8130 
-0.0180 ,0.0960 ,-0.0020 ,0.0140 ,0.8510 ,0.0250 ,0.0200 
-0.0050 ,0.0770 ,0.0010 ,0.0790 ,0.0430 ,-0.0560 ,0.5970 
0.0830 ,0.0200 ,-0.0200 ,-0.0320 ,-0.0420 ,0.5810 ,0.0070 
0.0360 ,0.0090 ,-0.0090 ,-0.0110 ,-0.0120 ,0.2160 ,-0.0340 
0.0230 ,0.9780 ,0.0040 ,0.0350 ,0.0530 ,0.0040 ,0.0310 
0.0270 ,0.9740 ,0.0050 ,0.1080 ,0.0540 ,0.0000 ,0.0310 
-0.0180 ,-0.0010 ,0.9220 ,0.0140 ,-0.0040 ,0.0120 ,0.0110 
-0.1930 ,-0.0130 ,0.2120 ,-0.0890 ,-0.0030 ,0.5320 ,0.0500 
